release_year,track_name,playlist_subgenre,track_popularity
1982,Should I Stay or Should I Go - Remastered,permanent wave,79.0
1982,Beat It - Single Version,classic rock,77.0
1982,Beat It - Single Version,electropop,77.0
1982,Beat It - Single Version,post-teen pop,77.0
1983,Every Breath You Take,permanent wave,83.0
1983,Sweet Dreams (Are Made of This) - Remastered,classic rock,81.0
1983,Sweet Dreams (Are Made of This) - Remastered,electropop,81.0
1983,Sweet Dreams (Are Made of This) - Remastered,permanent wave,81.0
1983,Sweet Dreams (Are Made of This) - Remastered,post-teen pop,81.0
1983,Uptown Girl,classic rock,77.0
1983,Girls Just Want to Have Fun,electropop,76.0
1983,Girls Just Want to Have Fun,permanent wave,76.0
1983,99 Luftballons,permanent wave,73.0
1983,Karma Chameleon - Remastered,permanent wave,72.0
1984,Jump - 2015 Remaster,album rock,78.0
1984,Jump - 2015 Remaster,classic rock,78.0
1984,I Want to Know What Love Is - 1999 Remaster,album rock,77.0
1984,I Want to Know What Love Is - 1999 Remaster,classic rock,77.0
1984,I Want to Know What Love Is - 1999 Remaster,electropop,77.0
1984,Dancing In the Dark,classic rock,76.0
1984,The Boys Of Summer,album rock,76.0
1984,Born in the U.S.A.,classic rock,75.0
1984,Born in the U.S.A.,permanent wave,75.0
1984,Can't Fight This Feeling,album rock,73.0
1985,Take on Me,classic rock,83.0
1985,Take on Me,electropop,83.0
1985,Take on Me,permanent wave,83.0
1985,Take on Me,post-teen pop,83.0
1985,Everybody Wants To Rule The World,classic rock,80.0
1985,Everybody Wants To Rule The World,permanent wave,80.0
1985,Eye of the Tiger,classic rock,76.0
1985,Eye of the Tiger,hard rock,76.0
1985,Walk Of Life,hard rock,75.0
1985,Your Love,classic rock,70.5
1986,Run Rudolph Run - Single Version,neo soul,79.0
1986,The Final Countdown,classic rock,75.0
1986,The Final Countdown,hard rock,75.0
1986,You Can Call Me Al,permanent wave,75.0
1986,Kiss,electropop,73.0
1986,There Is a Light That Never Goes Out - 2011 Remaster,permanent wave,73.0
1986,Don't Dream It's Over,permanent wave,72.0
1986,You Shook Me All Night Long,classic rock,72.0
1986,You Shook Me All Night Long,hard rock,72.0
1986,You Shook Me All Night Long,permanent wave,72.0
1987,Sweet Child O' Mine,album rock,82.0
1987,Sweet Child O' Mine,electropop,82.0
1987,Sweet Child O' Mine,permanent wave,82.0
1987,I Wanna Dance with Somebody (Who Loves Me),new jack swing,80.0
1987,With Or Without You - Remastered,electropop,79.0
1987,With Or Without You - Remastered,hard rock,79.0
1987,Paradise City,album rock,78.0
1987,Welcome To The Jungle,album rock,78.0
1987,Welcome To The Jungle,electropop,78.0
1987,Ahora Te Puedes Marchar,latin pop,77.0
1988,Fast Car,electropop,77.0
1988,La Incondicional,latin pop,75.0
1988,Listen to Your Heart,electropop,75.0
1988,Where Is My Mind?,permanent wave,74.0
1988,Culpable O No - Miénteme Como Siempre,latin pop,73.0
1988,The Look,electropop,72.0
1988,American Pie,album rock,71.0
1988,American Pie,classic rock,71.0
1988,Every Rose Has Its Thorn - Remastered 2003,album rock,71.0
1988,Every Rose Has Its Thorn - Remastered 2003,classic rock,71.0
1989,Free Fallin',classic rock,76.0
1989,Kickstart My Heart,album rock,76.0
1989,Kickstart My Heart,classic rock,76.0
1989,Right Here Waiting,electropop,75.0
